cell_line,id
NCI-H1944,391
NCI-H196,392
NCI-H1963,393
NCI-H1975,394
NCI-H2009,395
NCI-H2023,396
NCI-H2029,397
NCI-H2030,398
NCI-H2052,399
NCI-H2081,400
NCI-H2085,401
NCI-H2087,402
NCI-H209,403
NCI-H211,404
NCI-H2110,405
NCI-H2122,406
NCI-H2170,407
NCI-H2171,408
NCI-H2172,409
NCI-H2227,410
NCI-H2228,411
NCI-H226,412
NCI-H2291,413
NCI-H23,414
NCI-H2342,415
NCI-H2347,416
NCI-H2405,417
NCI-H2444,418
NCI-H2452,419
NCI-H28,420
NCI-H292,421
NCI-H3122,422
NCI-H322M,423
NCI-H358,424
NCI-H441,425
NCI-H446,426
NCI-H460,427
NCI-H508,428
NCI-H510A,429
NCI-H520,430
NCI-H522,431
NCI-H524,432
NCI-H526,433
NCI-H596,434
NCI-H647,435
NCI-H650,436
NCI-H660,437
NCI-H661,438
NCI-H69,439
NCI-H716,440
NCI-H727,441
NCI-H747,442
NCI-H810,443
NCI-H82,444
NCI-H838,445
NCI-H929,446
NCI-N87,447
NH-12,448
NMC-G1,449
NOMO-1,450
NOS-1,451
NU-DUL-1,452
NUGC-3,453
NUGC-4,454
OACM5-1,455
OAW-28,456
OAW-42,457
OC-314,458
OCI-AML2,459
OCI-AML5,460
OCI-LY-19,461
OCI-LY7,462
OCI-M1,463
OCUM-1,464
OE19,465
OE21,466
OE33,467
ONS-76,468
OPM-2,469
OS-RC-2,470
OSC-19,471
OSC-20,472
OV-17R,473
OV-56,474
OV-7,475
OV-90,476
OVCAR-3,477
OVCAR-4,478
OVCAR-5,479
OVCAR-8,480
OVISE,481
OVK-18,482
OVKATE,483
OVTOKO,484
P12-ICHIKAWA,485
P30-OHK,486
P31-FUJ,487
PA-1,488
PA-TU-8902,489
PA-TU-8988T,490
PANC-02-03,491
PANC-03-27,492
PANC-04-03,493
PANC-08-13,494
PANC-10-05,495
PC-14,496
PC-3,497
PE-CA-PJ15,498
PEO1,499
PF-382,500
PFSK-1,501
PL-21,502
PSN1,503
QGP-1,504
RCC10RGB,505
RCH-ACV,506
RCM-1,507
RD,508
REH,509
RERF-GC-1B,510
RERF-LC-KJ,511
RERF-LC-MS,512
RERF-LC-Sq1,513
RH-18,514
RH-41,515
RKN,516
RKO,517
RL,518
RL95-2,519
RMG-I,520
RO82-W-1,521
